Route_ID,Weather_Condition,Event_Type,Hour,Day_OfWeek,Temperature,Precipitation,Event_Attendance,Delay_Minutes
47180,Cloudy,Protest,6,4,30.3,0.0,19349,13.15
47102,Sunny,Concert,14,1,33.8,0.0,14929,10.79
77635,Rainy,None,21,4,32.4,8.0,0,14.27
47133,Rainy,Concert,21,6,20.1,19.6,29400,10.99
47190,Rainy,Concert,16,3,29.6,39.6,30363,33.44
47151,Snowy,Concert,9,5,-5.0,0.0,15847,42.43
47180,Sunny,Concert,13,5,34.9,0.0,35028,12.68
47175,Cloudy,Sports,8,6,34.8,0.0,55292,24.32
47119,Snowy,None,16,2,-0.2,0.0,0,18.79
47182,Cloudy,Sports,12,0,26.1,0.0,46088,18.03
47142,Sunny,Protest,20,2,29.6,0.0,8408,12.09
47128,Snowy,Sports,22,5,-4.2,0.0,58378,7.34
47115,Snowy,Festival,11,0,-4.7,0.0,90025,24.94
47176,Snowy,Protest,9,4,-4.0,0.0,15681,48.58
47130,Cloudy,Sports,7,2,30.3,0.0,29143,15.44
47192,Sunny,Festival,5,3,28.4,0.0,86496,20.7
47171,Snowy,None,18,0,-4.9,0.0,0,26.08
77681,Sunny,None,20,0,32.2,0.0,0,0.0
47100,Cloudy,Concert,13,5,40.7,0.0,20786,12.33
47196,Sunny,Festival,20,6,21.9,0.0,64815,8.9
47160,Sunny,Protest,13,5,28.7,0.0,15085,17.28
77642,Sunny,Protest,23,4,28.0,0.0,8503,16.13
47192,Cloudy,Festival,11,6,32.5,0.0,50240,14.38
47163,Snowy,Protest,13,1,-1.8,0.0,11705,25.67
47180,Snowy,Festival,17,4,-1.3,0.0,78715,42.48
47107,Cloudy,Sports,22,0,38.8,0.0,20952,6.22
47109,Snowy,Concert,18,5,-1.6,0.0,10967,26.78
47110,Cloudy,Protest,19,6,40.6,0.0,8869,31.94
47160,Rainy,None,8,5,19.4,41.1,0,28.13
47179,Snowy,Concert,14,6,-2.2,0.0,13831,9.23
67276,Sunny,Concert,6,2,34.2,0.0,32543,10.38
47153,Snowy,Festival,9,2,-1.9,0.0,61252,36.95
47115,Rainy,None,13,5,10.8,35.7,0,12.73
47114,Cloudy,Concert,17,5,28.7,0.0,15067,6.77
47219,Snowy,None,16,0,-0.9,0.0,0,7.85
77634,Snowy,Sports,19,1,-1.2,0.0,41721,34.0
47213,Cloudy,Sports,22,1,37.2,0.0,50262,7.87
47179,Snowy,None,8,0,0.8,0.0,0,15.05
77640,Cloudy,Concert,22,0,25.1,0.0,39407,10.19
47100,Sunny,None,5,1,33.0,0.0,0,0.0
47170,Cloudy,Concert,9,0,30.3,0.0,37387,25.55
77631,Rainy,None,11,1,27.6,20.6,0,18.61
47129,Rainy,Protest,23,4,34.9,45.2,17220,34.85
47183,Cloudy,None,22,0,40.7,0.0,0,0.0
47152,Cloudy,Concert,23,0,29.2,0.0,34041,9.75
47113,Cloudy,Concert,20,6,31.4,0.0,16134,0.0
47178,Snowy,None,12,5,-3.0,0.0,0,12.53
47152,Snowy,Festival,20,6,-4.1,0.0,96938,28.64
47198,Cloudy,Concert,19,4,31.8,0.0,31941,22.92
47174,Cloudy,Sports,21,6,34.5,0.0,20873,0.71
47156,Cloudy,None,8,5,34.1,0.0,0,13.15
47185,Cloudy,Protest,11,4,25.9,0.0,18018,20.8
47173,Sunny,Concert,21,6,35.7,0.0,12069,0.47
47110,Snowy,Sports,9,5,-0.7,0.0,34538,27.49
77633,Sunny,Concert,13,6,38.4,0.0,37467,4.54
47108,Cloudy,Concert,10,2,32.7,0.0,39625,16.91
47125,Snowy,Concert,9,6,0.4,0.0,25665,25.63
47192,Rainy,None,18,3,31.1,31.6,0,34.87
47217,Snowy,Concert,6,0,-3.9,0.0,21563,14.42
47202,Cloudy,Protest,17,5,33.4,0.0,16790,21.81
47212,Rainy,Sports,16,3,28.6,30.1,49645,29.33
47101,Cloudy,Sports,10,0,30.5,0.0,45076,21.99
47128,Sunny,Concert,11,5,27.9,0.0,26388,15.74
47159,Cloudy,Concert,11,3,25.0,0.0,39636,11.86
47146,Snowy,Concert,22,6,-3.8,0.0,24348,13.83
77633,Sunny,Protest,23,4,35.1,0.0,19634,22.07
47149,Sunny,Concert,22,1,31.9,0.0,23084,0.13
47152,Cloudy,Concert,13,4,30.4,0.0,28941,12.4
67277,Cloudy,Protest,13,1,34.9,0.0,8170,20.9
47186,Sunny,Sports,6,6,27.9,0.0,57345,4.86
47136,Rainy,None,6,5,29.1,32.8,0,8.58
47104,Sunny,Sports,6,1,27.9,0.0,49045,11.03
47202,Cloudy,Protest,22,6,31.2,0.0,5254,3.52
77643,Rainy,Protest,16,2,24.6,49.7,5103,42.03
47203,Sunny,Festival,9,6,24.8,0.0,65152,15.99
47204,Cloudy,Festival,5,5,26.4,0.0,72789,13.49
47108,Sunny,Festival,16,3,33.6,0.0,58940,29.16
47203,Sunny,Protest,11,5,36.3,0.0,15934,12.39
47119,Cloudy,Concert,6,5,29.9,0.0,10448,0.0
47171,Snowy,Protest,5,1,-2.5,0.0,9560,20.47
47168,Rainy,None,13,5,28.6,33.1,0,17.41
77634,Sunny,Festival,6,1,34.6,0.0,61592,19.98
47197,Sunny,Festival,7,3,31.5,0.0,62230,29.45
77682,Cloudy,Concert,6,4,33.5,0.0,27508,8.5
47143,Sunny,Concert,21,5,33.1,0.0,27324,5.53
47118,Rainy,Festival,8,5,27.5,37.0,81477,40.93
77680,Snowy,None,20,2,-1.8,0.0,0,12.49
47181,Snowy,Concert,15,2,-3.5,0.0,38412,27.48
47159,Cloudy,Sports,18,4,40.8,0.0,48557,35.87
47154,Snowy,Protest,18,3,-4.6,0.0,5145,36.95
47157,Snowy,Concert,23,2,-2.1,0.0,22077,10.37
77680,Cloudy,Festival,12,3,25.8,0.0,91543,20.31
47119,Cloudy,Festival,7,3,19.4,0.0,53116,22.99
77680,Sunny,Sports,15,0,28.2,0.0,54336,16.62
47135,Snowy,Festival,21,3,0.6,0.0,76198,24.62
47188,Cloudy,Protest,15,6,34.8,0.0,8627,8.84
47187,Cloudy,Protest,14,2,25.5,0.0,8875,19.23
47151,Rainy,Festival,12,1,20.4,11.6,90637,38.08
47191,Sunny,Sports,6,2,37.9,0.0,38681,5.39
47130,Snowy,Concert,14,2,-2.2,0.0,31632,28.1
47116,Rainy,Protest,17,4,26.4,26.2,6508,50.59
47207,Snowy,Protest,6,0,1.1,0.0,13697,9.74
47130,Rainy,Sports,8,0,27.0,48.3,34907,46.37
47130,Cloudy,Concert,20,5,27.7,0.0,26603,3.43
67278,Cloudy,None,14,5,24.7,0.0,0,0.0
47181,Snowy,Festival,15,1,-1.7,0.0,79742,33.52
47165,Sunny,Festival,17,5,35.6,0.0,51795,14.74
47189,Sunny,Sports,22,4,24.3,0.0,46791,20.75
47190,Sunny,Protest,23,1,33.7,0.0,6093,7.48
77640,Cloudy,Sports,8,1,37.8,0.0,36793,22.94
47166,Cloudy,None,15,6,35.9,0.0,0,0.34
67276,Cloudy,Festival,12,0,40.3,0.0,81987,35.17
47185,Sunny,None,23,4,30.8,0.0,0,9.86
47114,Sunny,Concert,6,2,35.2,0.0,10441,8.93
47131,Cloudy,Concert,8,6,25.2,0.0,32296,24.89
47103,Rainy,None,9,0,32.3,24.1,0,18.26
47129,Cloudy,Concert,13,2,24.1,0.0,13443,0.0
47220,Rainy,Concert,9,6,25.7,41.0,17713,37.63
47133,Cloudy,Festival,21,3,37.5,0.0,90869,23.54
47200,Rainy,None,8,0,35.1,12.4,0,14.3
47122,Rainy,Festival,18,5,18.5,20.6,72685,34.56
47156,Sunny,Protest,14,3,33.9,0.0,8048,16.45
77633,Sunny,None,6,2,21.7,0.0,0,0.0
47100,Cloudy,Sports,7,2,23.5,0.0,54156,29.18
47206,Sunny,Protest,9,2,33.8,0.0,16917,28.68
47144,Rainy,Concert,10,3,24.4,6.4,30965,9.1
47111,Rainy,Concert,8,5,26.7,11.2,14875,23.35
47178,Rainy,None,5,1,22.1,37.9,0,26.47
77649,Cloudy,Concert,17,5,27.3,0.0,10126,8.06
47217,Cloudy,Protest,20,6,29.5,0.0,12599,2.34
47212,Cloudy,Festival,10,0,27.2,0.0,85893,16.19
47104,Sunny,None,8,2,41.8,0.0,0,20.18
47165,Cloudy,Concert,18,4,26.5,0.0,28779,26.83
47213,Cloudy,Protest,6,3,29.4,0.0,16339,17.16
67277,Rainy,Sports,7,0,30.1,13.1,45962,39.53
47212,Rainy,Protest,11,2,24.3,39.0,9487,33.52
47215,Snowy,Festival,5,4,-4.5,0.0,73754,18.24
47198,Sunny,None,10,3,24.4,0.0,0,11.83
47165,Sunny,Sports,18,1,40.2,0.0,40489,26.85
77647,Sunny,Sports,20,4,34.9,0.0,39811,14.52
77633,Cloudy,None,15,3,45.4,0.0,0,15.6
47176,Cloudy,Festival,7,6,29.4,0.0,59674,17.16
47183,Snowy,Protest,7,0,-4.1,0.0,12255,38.47
47137,Rainy,Sports,12,6,23.2,23.6,53835,15.46
47212,Rainy,Protest,19,4,23.8,19.1,14380,37.02
47149,Snowy,Sports,6,0,1.5,0.0,22244,8.86
47160,Snowy,None,22,0,-2.3,0.0,0,17.4
77604,Rainy,Concert,12,3,27.4,28.8,23942,19.88
47168,Rainy,Protest,10,0,34.6,9.9,18349,31.31
47134,Cloudy,Sports,6,3,24.8,0.0,49089,8.87
47166,Sunny,Concert,5,0,27.6,0.0,30354,0.0
47111,Rainy,Concert,20,2,31.6,24.2,34587,28.56
47134,Sunny,Protest,23,6,25.0,0.0,5835,8.98
47171,Snowy,None,13,4,-2.2,0.0,0,17.56
47206,Cloudy,Protest,9,1,27.0,0.0,9993,27.68
47197,Sunny,Festival,18,3,32.2,0.0,84499,27.75
47161,Cloudy,Festival,5,0,31.4,0.0,72426,14.23
77630,Sunny,Protest,18,0,30.8,0.0,8708,27.2
77641,Cloudy,Protest,23,2,27.1,0.0,5101,14.8
77680,Cloudy,None,15,1,32.5,0.0,0,0.11
47163,Cloudy,Sports,12,4,30.5,0.0,27072,19.17
47118,Snowy,None,16,6,-4.5,0.0,0,12.72
47185,Snowy,Sports,13,2,-2.2,0.0,27406,23.33
47144,Rainy,Festival,23,2,23.2,20.2,76403,16.36
47106,Rainy,Protest,21,3,18.9,30.1,14428,28.18
47211,Sunny,Festival,21,5,33.3,0.0,78531,11.18
47149,Snowy,Protest,23,5,-0.6,0.0,7815,8.26
47177,Rainy,Concert,10,0,26.7,7.0,32547,8.95
77635,Cloudy,None,9,2,26.7,0.0,0,15.24
47161,Rainy,Concert,21,6,22.7,24.1,16923,8.51
47126,Cloudy,None,20,4,35.0,0.0,0,7.12
77634,Sunny,Protest,19,3,36.2,0.0,19638,23.28
47104,Snowy,Concert,13,4,0.1,0.0,19447,21.1
47140,Cloudy,Concert,11,1,17.6,0.0,11070,3.23
47113,Sunny,Concert,7,6,34.9,0.0,16860,12.36
47213,Sunny,Sports,16,4,33.9,0.0,50095,22.0
47117,Sunny,Sports,7,0,32.4,0.0,32176,20.66
47176,Snowy,Concert,12,6,0.3,0.0,38039,8.88
77649,Sunny,Protest,23,6,33.7,0.0,16687,6.28
47217,Cloudy,Sports,11,1,27.6,0.0,50674,12.97
47136,Rainy,Sports,11,3,29.0,41.1,24977,28.44
47100,Rainy,None,15,3,28.4,19.9,0,25.33
47190,Rainy,Sports,7,2,31.4,11.6,35253,26.22
47206,Sunny,Sports,22,2,38.0,0.0,46734,12.31
47199,Cloudy,Concert,15,4,19.8,0.0,32283,11.42
47117,Snowy,Protest,18,0,-3.5,0.0,14090,36.06
47173,Rainy,Concert,12,2,27.1,26.7,23953,31.52
47215,Sunny,Concert,21,4,33.6,0.0,34424,10.79
47205,Cloudy,Protest,19,6,34.1,0.0,18019,12.55
77630,Sunny,Protest,16,0,33.2,0.0,6728,25.2
47190,Snowy,Protest,14,2,-2.9,0.0,15333,33.79
47108,Cloudy,None,11,3,31.7,0.0,0,7.92
47206,Sunny,Sports,20,3,35.2,0.0,43945,25.14
47217,Snowy,None,10,4,-1.0,0.0,0,21.24
77638,Cloudy,Concert,7,3,27.7,0.0,30851,16.92
47142,Snowy,Protest,12,0,-1.5,0.0,8139,22.35
47194,Sunny,Sports,5,4,32.4,0.0,45701,16.75
47149,Cloudy,Sports,11,4,32.4,0.0,22144,16.1
47197,Rainy,Sports,23,5,32.2,30.4,41123,15.87
47105,Sunny,Festival,7,3,30.7,0.0,84118,26.93
47106,Sunny,Protest,18,4,29.8,0.0,16072,35.1
77645,Cloudy,Concert,14,2,33.8,0.0,19239,4.24
47183,Snowy,Protest,11,0,-3.1,0.0,12172,34.21
47111,Rainy,None,23,2,29.1,24.4,0,21.58
47175,Sunny,Sports,9,5,28.1,0.0,22968,8.37
47212,Cloudy,Protest,8,3,21.1,0.0,17175,35.92
47141,Cloudy,Protest,11,3,33.3,0.0,10074,16.74
47132,Sunny,Protest,11,1,33.4,0.0,10376,11.45
47176,Sunny,Protest,6,1,44.2,0.0,8277,17.3
47217,Rainy,Protest,20,5,27.5,6.9,11980,14.47
47137,Snowy,Protest,23,6,1.8,0.0,19119,9.94
47139,Cloudy,Festival,18,3,26.0,0.0,73734,32.1
77649,Rainy,Sports,9,6,36.4,41.6,25382,42.6
47218,Rainy,None,21,5,35.0,21.6,0,3.24
47167,Rainy,Concert,11,3,22.1,6.6,28260,13.32
47220,Rainy,None,5,3,27.3,23.0,0,16.97
47164,Cloudy,Protest,13,1,21.5,0.0,16188,25.89
47173,Cloudy,Concert,21,1,29.2,0.0,31832,4.23
47195,Sunny,None,19,0,26.9,0.0,0,6.73
77681,Cloudy,Concert,16,6,34.1,0.0,39329,8.23
47101,Cloudy,Sports,10,1,23.6,0.0,39389,11.4
47119,Cloudy,Concert,11,4,28.3,0.0,33728,25.09
47127,Rainy,None,8,4,25.7,35.6,0,30.28
47170,Cloudy,None,8,6,28.8,0.0,0,13.64
47171,Cloudy,Concert,23,4,16.5,0.0,38953,12.52
47109,Rainy,None,17,5,25.8,37.6,0,32.28
77681,Rainy,Sports,20,0,36.2,27.5,54707,30.32
47111,Cloudy,Festival,5,6,28.7,0.0,67504,2.97
47218,Cloudy,Concert,15,6,42.9,0.0,33396,11.98
47106,Snowy,None,5,1,-3.2,0.0,0,9.88
47158,Snowy,Concert,6,0,1.5,0.0,13619,2.0
77642,Sunny,Protest,23,0,29.1,0.0,11433,9.55
47187,Rainy,None,9,6,26.8,40.7,0,27.63
47120,Sunny,Festival,12,1,28.4,0.0,74996,20.53
47211,Snowy,Sports,6,3,-3.4,0.0,44101,31.34
47126,Snowy,Concert,13,6,1.9,0.0,12130,12.88
47218,Rainy,Concert,19,6,33.2,43.8,21458,25.82
67277,Rainy,Concert,9,5,25.3,27.6,25432,32.03
77630,Rainy,None,6,1,20.0,30.8,0,16.51
47119,Sunny,Concert,9,2,26.4,0.0,11992,26.16
47175,Snowy,Sports,13,4,1.4,0.0,33337,23.03
47130,Sunny,Sports,12,4,35.6,0.0,59045,16.16
47138,Cloudy,Protest,14,1,27.4,0.0,5862,18.62
77682,Cloudy,Sports,21,4,23.9,0.0,36128,15.79
47203,Sunny,Concert,6,1,30.8,0.0,35701,5.27
77647,Rainy,None,17,6,30.6,33.2,0,28.82
47202,Snowy,Sports,6,5,-1.3,0.0,28827,16.56
47122,Sunny,Sports,17,2,26.6,0.0,55942,29.27
47181,Rainy,None,9,0,30.0,30.7,0,28.8
77641,Snowy,None,18,4,1.9,0.0,0,13.74
47201,Snowy,Sports,15,6,-3.1,0.0,47114,18.5
47174,Snowy,Festival,18,0,-3.4,0.0,95847,49.41
77645,Snowy,Festival,14,3,1.2,0.0,51235,8.2
47175,Sunny,None,19,3,24.2,0.0,0,18.03
47130,Cloudy,Festival,11,0,23.6,0.0,72409,28.26
47178,Sunny,Sports,16,4,21.6,0.0,21147,27.71
47111,Snowy,Protest,11,6,0.2,0.0,16501,12.82
47179,Cloudy,Concert,22,4,27.3,0.0,39560,14.91
47118,Sunny,Protest,23,0,31.8,0.0,10306,17.58
47180,Rainy,Concert,16,2,27.6,42.4,13826,29.72
77638,Sunny,Sports,7,1,30.2,0.0,34511,21.62
47139,Sunny,Sports,8,4,33.5,0.0,23816,16.21
47182,Snowy,Festival,16,1,-3.6,0.0,67204,37.16
77640,Sunny,Sports,7,0,32.9,0.0,46785,23.44
77681,Snowy,None,8,3,-1.9,0.0,0,26.74
47136,Sunny,Sports,23,1,29.3,0.0,37906,3.69
47135,Rainy,Sports,8,0,28.0,6.5,58443,25.05
47173,Sunny,Sports,5,1,34.0,0.0,55299,2.55
47164,Snowy,None,12,2,-0.5,0.0,0,17.36
47190,Snowy,Protest,11,6,-1.7,0.0,15986,28.11
47132,Sunny,Protest,13,2,40.3,0.0,10823,27.24
47137,Sunny,Sports,15,3,22.8,0.0,48010,8.2
47195,Cloudy,Concert,15,4,26.9,0.0,14101,12.95
47126,Sunny,Concert,8,1,34.6,0.0,35283,23.43
77643,Cloudy,Protest,11,4,30.9,0.0,12432,18.71
47167,Sunny,Protest,16,5,28.9,0.0,9879,4.94
47195,Rainy,Protest,6,0,22.4,49.1,13425,30.48
47135,Sunny,Concert,20,5,27.1,0.0,28446,5.96
47128,Snowy,Protest,11,5,-1.4,0.0,7555,34.67
47192,Cloudy,Sports,22,2,32.5,0.0,23285,5.58
47139,Rainy,None,8,0,22.7,46.6,0,41.8
47220,Sunny,Festival,13,6,29.1,0.0,56383,11.89
47157,Rainy,Concert,6,0,39.8,29.1,19085,17.89
47114,Cloudy,Festival,15,3,35.7,0.0,64607,14.41
47105,Cloudy,Concert,15,3,29.8,0.0,26206,19.1
47140,Sunny,Concert,12,4,28.9,0.0,36820,26.43
47176,Cloudy,Sports,20,2,33.5,0.0,43790,5.95
47118,Rainy,None,11,4,30.200000000000003,31.9,0,30.81
47213,Sunny,Concert,22,6,35.1,0.0,17019,0.0
47130,Snowy,Concert,5,4,-0.5,0.0,12352,16.23
47164,Rainy,Sports,14,0,26.6,42.2,56879,40.58
47110,Cloudy,Protest,11,6,30.9,0.0,17959,6.92
47146,Cloudy,Sports,7,1,31.9,0.0,58146,29.68
47123,Sunny,Concert,10,1,34.8,0.0,36509,17.71
47215,Sunny,Concert,10,6,36.2,0.0,29841,8.26
47192,Cloudy,Festival,12,6,29.6,0.0,85840,8.86
47150,Rainy,None,19,6,29.1,14.6,0,18.34
77631,Rainy,None,11,5,28.4,38.2,0,12.72
47127,Sunny,Protest,14,6,26.6,0.0,12152,17.7
47163,Cloudy,Concert,23,6,29.8,0.0,29013,4.21
47195,Sunny,None,14,4,32.1,0.0,0,10.15
47144,Cloudy,Protest,20,2,34.7,0.0,10976,9.61
47107,Rainy,None,6,2,27.5,22.0,0,8.69
77640,Rainy,None,6,6,24.8,45.3,0,16.1
77640,Snowy,Sports,11,6,2.0,0.0,26285,2.86
47108,Snowy,Concert,5,6,-0.9,0.0,28555,11.24
67277,Sunny,Festival,6,6,31.1,0.0,70471,11.9
47205,Rainy,Sports,10,0,34.2,46.6,52281,39.74
77643,Rainy,Sports,17,1,32.2,26.1,37386,28.1
47154,Rainy,Festival,21,5,28.3,26.9,82520,29.4
47207,Rainy,Protest,17,5,27.4,37.8,16852,47.6
47172,Cloudy,Concert,22,0,27.4,0.0,29996,13.05
47201,Cloudy,Festival,6,2,41.5,0.0,77221,18.63
47113,Cloudy,Protest,10,2,27.8,0.0,9255,24.12
47156,Snowy,None,10,2,0.4,0.0,0,2.39
47149,Sunny,Protest,20,3,29.9,0.0,13203,11.23
47171,Cloudy,Festival,19,6,23.3,0.0,90878,23.58
47122,Sunny,Protest,11,4,27.0,0.0,8876,17.94
47204,Snowy,Concert,19,5,-2.7,0.0,39556,34.08
47209,Rainy,None,18,0,34.8,21.6,0,20.81
47174,Sunny,Sports,18,2,36.9,0.0,22736,18.48
77649,Snowy,Concert,22,2,-4.1,0.0,25325,18.44
47131,Snowy,Protest,7,1,-2.3,0.0,14353,44.78
47156,Cloudy,Sports,18,6,30.8,0.0,57641,23.99
47141,Sunny,Concert,17,2,33.4,0.0,17939,30.86
47200,Snowy,Protest,18,4,-0.3,0.0,9303,39.21
47119,Sunny,Protest,23,0,28.9,0.0,14675,10.16
47108,Rainy,Festival,16,5,23.8,9.8,60679,27.98
47104,Rainy,Festival,19,6,34.1,20.0,71936,31.53
47119,Cloudy,Concert,6,4,25.8,0.0,18986,11.15
47141,Rainy,Sports,21,1,24.2,8.5,57351,18.88
47159,Cloudy,Sports,8,2,31.0,0.0,33601,19.14
47202,Rainy,Sports,15,0,34.7,47.2,30008,43.58
47199,Cloudy,None,23,4,26.9,0.0,0,3.06
47168,Sunny,Concert,19,5,33.4,0.0,12642,19.2
47138,Snowy,Festival,7,1,1.5,0.0,98724,44.8
47186,Snowy,Concert,8,6,-2.2,0.0,25254,21.06
47107,Cloudy,Protest,16,5,23.1,0.0,19802,10.31
47207,Snowy,None,22,2,-4.3,0.0,0,18.97
47219,Cloudy,None,7,1,27.4,0.0,0,16.12
47183,Rainy,Concert,13,0,26.9,32.0,16186,30.18
47187,Snowy,None,12,1,-2.2,0.0,0,12.35
47218,Snowy,Protest,21,0,1.2,0.0,8255,16.87
47152,Snowy,Protest,22,2,-1.3,0.0,9359,31.11
47168,Rainy,Sports,18,1,29.9,40.7,58025,50.16
47185,Rainy,Protest,18,4,30.0,43.1,16343,60.36
47181,Sunny,None,5,4,36.1,0.0,0,7.54
47118,Cloudy,Protest,13,5,35.3,0.0,14949,18.84
77604,Snowy,Sports,16,3,-3.5,0.0,53884,29.02
47142,Cloudy,Concert,5,6,29.2,0.0,27970,1.33
